Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Publisher,Date Published,Year Published,Genre,Summary,Number of Pages,Language,ISBN,Physical Location,Google VolumeID
Episodios Nacionales de BENITO PÉREZ GALDÓS. Biblioteca El Mundo.,Trafalgar La corre de Carlos IV,Primera,1.0,Benito Pérez Galdós,"Galdós, Benito Pérez",Espada Calpe para grupo Editorial,2008/01/01,2008.0,Histórico,,208.0,,9788467028430.0,,
Las mujeres de Héctor,,,,Adelaida García Morales,"Morales, Adelaida García",Editorial Anagrama,,,Fiction,,153.0,español,9788433909671.0,,r8FdAAAAMAAJ
Cielo en llamas 5,,,,Robert Jordan,"Jordan, Robert",Ediciones Minotauro,2020/03/01,2020.0,Fantasy,"Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta añosRand aguarda en Rhuidean, la ciudad hasta entonces prohibida, a que se unan todos los clanes de los Aiel, pero la actitud del jefe de los Shaido puede obligar a Rand a cambiar de planes. En la corte de Caemlyn, Morgase tiene que enfrentarse a la realidad de una traición inesperada, mientras la Torre Blanca se convierte en un nido de intrigas y maquinaciones. Elaida, ascendida a Sede Amyrlin, pretende capturar al Dragón Renacido para mantenerlo a salvo hasta el momento .",992.0,español,9788445007044.0,Biblioteca Daniel Alonso Cano,UMkazgEACAAJ
El ascenso de la sombra 4,,,,Robert Jordan,"Jordan, Robert",Minotauro,2020/03/01,2020.0,Fiction,,1056.0,español,9788445007037.0,Biblioteca Daniel Alonso Cano,GDhIzgEACAAJ
El camino de dagas,,,,Robert Jordan,"Jordan, Robert",Minotauro,2020/10/01,2020.0,Fantasy fiction,,608.0,español,9788445007075.0,Biblioteca Daniel Alonso Cano,OXDCzgEACAAJ
El corazón del invierno,,,,Robert Jordan,"Jordan, Robert",Minotauro,,2021.0,Magic,"Tras el ataque en el Palacio del Sol, Rand viaja con Min dejando pistas falsas a sus enemigos. En Cairhien, Cadsuane continúa preparando la estrategia para la Última Batalla.Perrin organiza el rescate de Faile, que está prisionera del septiar de Sevanna, y en Tar Valon se suceden las intrigas de la Torre Blanca. Los seanchan han conquistado Ebou Dar y Mat se encuentra atrapado allí, junto a sus compañeros. Rand se dirige a Far Madding, la ciudad donde el Poder no surte efecto. Allí espera enfrentarse a los Asha'man renegados, condición que considera necesaria para limpiar el Saidin de la infección del Oscuro.",640.0,español,9788445007082.0,Biblioteca Daniel Alonso Cano,hOqqzgEACAAJ
El Dragón Renacido 3,,,,Robert Jordan,"Jordan, Robert",Minotauro,,2020.0,Fantasy fiction,"Rand, acosado por inquietantes sueños sobre una espada de cristal, decide abandonar a sus compañeros tras un ataque de Engendros de la Sombra y se encamina hacia Tear para descubrir quién es realmente. Mientras tanto, las tres jóvenes aspirantes a Aes Sedai viajan con Mat hacia Tar Valon para ingresar como novicias en la Torre Blanca, donde esperan que las hermanas sanen a Mat de la extraña enfermedad que padece. Poco tiempo después, la Amyrlin les encomienda una peligrosa misión. . .Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta años. El lector que inicie el camino junto a Rand, Mat y Perrin no podrá abandonar el viaje hasta su incierto y sorprendente final.",688.0,español,9788445007020.0,Biblioteca Daniel Alonso Cano,Nw-PzQEACAAJ
El ojo del mundo 1 : la rueda del tiempo,,,,Robert Jordan,"Jordan, Robert",Minotauro,2019/10/01,2019.0,,"La vida de Rand Al'Thor y sus amigos en Campo de Emond ha resultado bastante monótona hasta que una joven misteriosa llega al pueblo. Moraine, una maga capaz de encauzar el Poder Único, anuncia el despertar de una terrible amenaza. Esa misma noche, el pueblo se ve atacado por espantosos trollocs sedientos de sangre, unas bestias semihumanas que hasta entonces se habían considerado una leyenda. Mientras Campo de Emond soporta la ofensiva, Moraine y su guardián ayudan a Rand y a sus amigos a escapar.",832.0,español,9788445007006.0,Biblioteca Daniel Alonso Cano,VzHQzQEACAAJ
El Señor del Caos 6,El Señor del Caos,,,Robert Jordan,"Jordan, Robert",Minotauro,2020/05/01,2020.0,Fantasy fiction,"Rand se esfuerza por unir a las naciones para combatir al Oscuro al tiempo que se ve obligado a sortear las trampas que los Renegados tienden a la desprevenida raza humana. Pero además tiene que enfrentarse a los Hijos de la Luz, cuyo capitán general se propone desprestigiarlo para dirigir él mismo la batalla contra la Sombra y sus huestes. Por su parte, las Aes Sedai, tanto las que siguen fieles a la Torre Blanca como las rebeldes, buscan a Rand para ofrecerle su apoyo, aunque éste sospecha que su verdadera intención es usarlo para sus propios fines. Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta años. El lector que inicie el camino junto a Rand, Mat y Perrin no podrá abandonar el viaje hasta su incierto y sorprendente final. Amazon prepara su adaptación como serie de TV.",1136.0,español,9788445007051.0,Biblioteca Daniel Alonso Cano,iNtdzgEACAAJ
La corona de espadas,La Corona de Espadas,,,Robert Jordan,"Jordan, Robert",Ediciones Minotauro,2020/09/01,2020.0,Fantasy fiction,,768.0,español,9788445007068.0,Biblioteca Daniel Alonso Cano,1ot8zgEACAAJ
