Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
Episodios Nacionales de BENITO PÉREZ GALDÓS. Biblioteca El Mundo.,,Trafalgar La corre de Carlos IV,Primera,1,Benito Pérez Galdós,"Galdós, Benito Pérez",,,,,,Espada Calpe para grupo Editorial,,2008/01/01,2008,,,,Histórico,,,,,,,,,,,,208,,,,,,,,,,,,9788467028430,,0,0.000000,,,,0,,,,,,,,0,,,,,2025/09/05 10:55:47.882799029,,,,,,,"Los Episodios nacionales son una serie de 46 novelas históricas escritas por Benito Pérez Galdós entre 1872 y 1912.
Su objetivo era narrar de forma novelada la historia de España desde la batalla de Trafalgar (1805) hasta la Restauración borbónica (1874).

Galdós mezcla personajes ficticios (jóvenes protagonistas que crecen y cambian) con personajes históricos reales (reyes, militares, políticos), creando una especie de “novela histórica nacional” muy viva y accesible.

⸻

🔖 Organización

La obra está dividida en cinco series:
	1.	Primera serie (1805-1814):
	•	Desde Trafalgar hasta la entrada de Fernando VII en Madrid.
	•	Tema central: la Guerra de la Independencia contra Napoleón.
	•	Protagonista recurrente: Gabriel de Araceli, un joven gaditano.
	2.	Segunda serie (1814-1833):
	•	El reinado de Fernando VII, el absolutismo y los conflictos liberales.
	•	Aparece Salvador Monsalud, héroe liberal.
	3.	Tercera serie (1833-1846):
	•	Guerras carlistas y regencias de María Cristina y Espartero.
	•	Gran protagonismo de los conflictos civiles.
	4.	Cuarta serie (1846-1868):
	•	Década moderada, reinado de Isabel II y revolución de 1868 (La Gloriosa).
	•	Narra el deterioro de la monarquía isabelina.
	5.	Quinta serie (1868-1874):
	•	El Sexenio Revolucionario: gobierno provisional, Amadeo de Saboya, Primera República y restauración de Alfonso XII.
	•	Refleja la inestabilidad y las tensiones sociales.",,,1,0,0,,https://covers.openlibrary.org/b/id/12347440-L.jpg,
Las mujeres de Héctor,,,,,Adelaida García Morales,"Morales, Adelaida García",,,,,,Editorial Anagrama,,,,,,,Fiction,,,,,,,,,,,,153,,,,,,español,,,,,,9788433909671,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/09/21 12:37:16.163681983,,,,,,,,r8FdAAAAMAAJ,,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/72685D21-59E4-4965-BC4A-3AB9C3FB4A5D,
Cielo en llamas 5,,,,,Robert Jordan,"Jordan, Robert",,,,,,Ediciones Minotauro,,2020/03/01,2020,,,,Fantasy,"Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta añosRand aguarda en Rhuidean, la ciudad hasta entonces prohibida, a que se unan todos los clanes de los Aiel, pero la actitud del jefe de los Shaido puede obligar a Rand a cambiar de planes. En la corte de Caemlyn, Morgase tiene que enfrentarse a la realidad de una traición inesperada, mientras la Torre Blanca se convierte en un nido de intrigas y maquinaciones. Elaida, ascendida a Sede Amyrlin, pretende capturar al Dragón Renacido para mantenerlo a salvo hasta el momento .",,,,,,,,,,,992,,,,,,español,,,,,,9788445007044,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:50:28.531906008,,,BIBLIOTECA DANIEL,,,,,UMkazgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10208469-L.jpg,
El ascenso de la sombra 4,,,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,2020/03/01,2020,,,,Fiction,,,,,,,,,,,,1056,,,,,,español,,,,,,9788445007037,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:50:10.988746047,,,BIBLIOTECA DANIEL,,,,,GDhIzgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10208467-L.jpg,
El camino de dagas,,,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,2020/10/01,2020,,,,Fantasy fiction,,,,,,,,,,,,608,,,,,,español,,,,,,9788445007075,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/10/03 12:52:43.509840965,,,,,,,,OXDCzgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/14119200-L.jpg,
El corazón del invierno,,,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,,2021,,,,Magic,"Tras el ataque en el Palacio del Sol, Rand viaja con Min dejando pistas falsas a sus enemigos. En Cairhien, Cadsuane continúa preparando la estrategia para la Última Batalla.Perrin organiza el rescate de Faile, que está prisionera del septiar de Sevanna, y en Tar Valon se suceden las intrigas de la Torre Blanca. Los seanchan han conquistado Ebou Dar y Mat se encuentra atrapado allí, junto a sus compañeros. Rand se dirige a Far Madding, la ciudad donde el Poder no surte efecto. Allí espera enfrentarse a los Asha'man renegados, condición que considera necesaria para limpiar el Saidin de la infección del Oscuro.",,,,,,,,,,,640,,,,,,español,,,,,,9788445007082,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/10/03 12:52:29.356206059,,,,,,,,hOqqzgEACAAJ,,0,0,0,,http://images.amazon.com/images/P/8445007084.01Z.jpg,
El Dragón Renacido 3,,,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,,2020,,,,Fantasy fiction,"Rand, acosado por inquietantes sueños sobre una espada de cristal, decide abandonar a sus compañeros tras un ataque de Engendros de la Sombra y se encamina hacia Tear para descubrir quién es realmente. Mientras tanto, las tres jóvenes aspirantes a Aes Sedai viajan con Mat hacia Tar Valon para ingresar como novicias en la Torre Blanca, donde esperan que las hermanas sanen a Mat de la extraña enfermedad que padece. Poco tiempo después, la Amyrlin les encomienda una peligrosa misión. . .Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta años. El lector que inicie el camino junto a Rand, Mat y Perrin no podrá abandonar el viaje hasta su incierto y sorprendente final.",,,,,,,,,,,688,,,,,,español,,,,,,9788445007020,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:49:45.932786941,,,BIBLIOTECA DANIEL,,,,,Nw-PzQEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10208465-L.jpg,
El ojo del mundo 1 : la rueda del tiempo,,,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,2019/10/01,2019,,,,,"La vida de Rand Al'Thor y sus amigos en Campo de Emond ha resultado bastante monótona hasta que una joven misteriosa llega al pueblo. Moraine, una maga capaz de encauzar el Poder Único, anuncia el despertar de una terrible amenaza. Esa misma noche, el pueblo se ve atacado por espantosos trollocs sedientos de sangre, unas bestias semihumanas que hasta entonces se habían considerado una leyenda. Mientras Campo de Emond soporta la ofensiva, Moraine y su guardián ayudan a Rand y a sus amigos a escapar.",,,,,,,,,,,832,,,,,,español,,,,,,9788445007006,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:48:06.914646029,,,BIBLIOTECA DANIEL,,,,,VzHQzQEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10208462-L.jpg,
El Señor del Caos 6,,El Señor del Caos,,,Robert Jordan,"Jordan, Robert",,,,,,Minotauro,,2020/05/01,2020,,,,Fantasy fiction,"Rand se esfuerza por unir a las naciones para combatir al Oscuro al tiempo que se ve obligado a sortear las trampas que los Renegados tienden a la desprevenida raza humana. Pero además tiene que enfrentarse a los Hijos de la Luz, cuyo capitán general se propone desprestigiarlo para dirigir él mismo la batalla contra la Sombra y sus huestes. Por su parte, las Aes Sedai, tanto las que siguen fieles a la Torre Blanca como las rebeldes, buscan a Rand para ofrecerle su apoyo, aunque éste sospecha que su verdadera intención es usarlo para sus propios fines. Por su calidad literaria, su ambicioso planteamiento y su descomunal historia, La Rueda del Tiempo es la saga de fantasía más importante de los últimos treinta años. El lector que inicie el camino junto a Rand, Mat y Perrin no podrá abandonar el viaje hasta su incierto y sorprendente final. Amazon prepara su adaptación como serie de TV.",,,,,,,,,,,1136,,,,,,español,,,,,,9788445007051,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:50:48.750571966,,,,,,,,iNtdzgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/12325079-L.jpg,
La corona de espadas,,La Corona de Espadas,,,Robert Jordan,"Jordan, Robert",,,,,,Ediciones Minotauro,,2020/09/01,2020,,,,Fantasy fiction,,,,,,,,,,,,768,,,,,,español,,,,,,9788445007068,,0,0.000000,Biblioteca Daniel Alonso Cano,Unread,,0,,,,,,,,0,,,,,2025/09/28 18:51:12.244462966,,,BIBLIOTECA DANIEL,,,,,1ot8zgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/12325076-L.jpg,
